Id,Quantidade_Avaliações,Média_Avaliações,Avaliação_Máxima,Nome_Filme,Generos,Tags
2000,75,3.67,5.0,Lethal Weapon (1987),Action|Comedy|Crime|Drama,
368,74,3.5,5.0,Maverick (1994),Adventure|Comedy|Western,
6711,74,4.03,5.0,Lost in Translation (2003),Comedy|Drama|Romance,atmospheric Japan
35836,74,3.55,5.0,"40-Year-Old Virgin, The (2005)",Comedy|Romance,BEST PICTURE classic hilarious steve carell
1485,74,3.03,5.0,Liar Liar (1997),Comedy,lawyer
3994,73,3.48,5.0,Unbreakable (2000),Drama|Sci-Fi,superhero atmospheric comics father-son relationship mindfuck unique atmospheric somber
109487,73,3.99,5.0,Interstellar (2014),Sci-Fi|IMAX,black hole sci-fi time-travel Christopher Nolan sci-fi time-travel bad dialogue philosophical issues thought-provoking visually appealing
45722,72,3.51,5.0,Pirates of the Caribbean: Dead Man's Chest (2006),Action|Adventure|Fantasy,
50872,72,3.87,5.0,Ratatouille (2007),Animation|Children|Drama,a clever chef rat inspirational clever inspirational
1201,72,4.15,5.0,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,spaghetti western
63082,71,3.81,5.0,Slumdog Millionaire (2008),Crime|Drama|Romance,
99114,71,3.94,5.0,Django Unchained (2012),Action|Drama|Western,action Christoph Waltz funny good soundtrack Great performances Humour Leonardo DiCaprio Quentin Tarantino Samuel L. Jackson Soundtrack western Soundtrack
1028,71,3.89,5.0,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,Disney nanny
1079,71,3.92,5.0,"Fish Called Wanda, A (1988)",Comedy|Crime,fish
40815,71,3.82,5.0,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX,Magic Wizards
6373,71,3.32,5.0,Bruce Almighty (2003),Comedy|Drama|Fantasy|Romance,religion classic
1407,70,3.2,5.0,Scream (1996),Comedy|Horror|Mystery|Thriller,slasher spoof
3408,70,3.53,5.0,Erin Brockovich (2000),Drama,scandal true story
2985,70,3.37,5.0,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller,
235,70,3.68,5.0,Ed Wood (1994),Comedy|Drama,movie business
4034,70,3.9,5.0,Traffic (2000),Crime|Drama|Thriller,drugs based on a TV show
474,70,3.69,5.0,In the Line of Fire (1993),Action|Thriller,assassination
11,70,3.67,5.0,"American President, The (1995)",Comedy|Drama|Romance,politics president
7147,69,3.83,5.0,Big Fish (2003),Drama|Fantasy|Romance,dreamlike sentimental surreal Tim Burton
1278,69,3.99,5.0,Young Frankenstein (1974),Comedy|Fantasy,spoof
89745,69,3.87,5.0,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,Captain America silly superhero superhero team fun great humor visually appealing
923,69,4.04,5.0,Citizen Kane (1941),Drama|Mystery,Rosebud
520,69,3.13,5.0,Robin Hood: Men in Tights (1993),Comedy,
48,68,3.15,5.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,
4979,68,3.68,5.0,"Royal Tenenbaums, The (2001)",Comedy|Drama,new york
266,68,3.4,5.0,Legends of the Fall (1994),Drama|Romance|War|Western,
1380,68,3.14,5.0,Grease (1978),Comedy|Musical|Romance,high school
1370,68,3.4,5.0,Die Hard 2 (1990),Action|Adventure|Thriller,
3753,68,3.45,5.0,"Patriot, The (2000)",Action|Drama|War,
74458,67,4.02,5.0,Shutter Island (2010),Drama|Mystery|Thriller,insanity Leonardo DiCaprio Martin Scorsese plot twist psychological Psychological Thriller thought-provoking
17,67,3.78,5.0,Sense and Sensibility (1995),Drama|Romance,Jane Austen
2542,67,4.05,5.0,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,
2081,67,3.43,5.0,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,
36,67,3.84,5.0,Dead Man Walking (1995),Crime|Drama,death penalty Nun
2353,67,3.49,5.0,Enemy of the State (1998),Action|Thriller,
4262,67,3.93,5.0,Scarface (1983),Action|Crime|Drama,Al Pacino
6863,66,3.4,5.0,School of Rock (2003),Comedy|Musical,school
163,66,3.56,5.0,Desperado (1995),Action|Romance|Western,
508,66,3.61,5.0,Philadelphia (1993),Drama,AIDs
1288,66,4.02,5.0,This Is Spinal Tap (1984),Comedy,music heavy metal mockumentary music
553,65,3.82,5.0,Tombstone (1993),Action|Drama|Western,
70286,65,3.78,5.0,District 9 (2009),Mystery|Sci-Fi|Thriller,intelligent sci-fi
4246,65,3.62,5.0,Bridget Jones's Diary (2001),Comedy|Drama|Romance,singletons
555,65,3.8,5.0,True Romance (1993),Crime|Thriller,
48385,65,3.35,5.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy,
56367,65,3.77,5.0,Juno (2007),Comedy|Drama|Romance,Michael Cera notable soundtrack pregnancy teenage pregnancy witty
2194,65,3.94,5.0,"Untouchables, The (1987)",Action|Crime|Drama,Capone gangsters
653,65,3.09,5.0,Dragonheart (1996),Action|Adventure|Fantasy,
1035,64,3.94,5.0,"Sound of Music, The (1965)",Musical|Romance,Rogers and Hammerstein
55820,64,3.9,5.0,No Country for Old Men (2007),Crime|Drama,
1234,64,3.98,5.0,"Sting, The (1973)",Comedy|Crime,The Entertainer
4025,64,3.05,5.0,Miss Congeniality (2000),Comedy|Crime,pageant
1954,64,3.83,5.0,Rocky (1976),Drama,boxing sports
353,64,3.61,5.0,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,
48774,64,3.95,5.0,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller,
4447,64,3.16,5.0,Legally Blonde (2001),Comedy|Romance,lawyers
786,64,3.11,5.0,Eraser (1996),Action|Drama|Thriller,
2657,63,3.34,5.0,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,
5502,63,3.17,5.0,Signs (2002),Horror|Sci-Fi|Thriller,aliens
1090,63,3.98,5.0,Platoon (1986),Drama|War,Vietnam
7143,62,3.9,5.0,"Last Samurai, The (2003)",Action|Adventure|Drama|War,
41566,62,3.44,5.0,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy,C.S. Lewis
3421,62,3.69,5.0,Animal House (1978),Comedy,college TOGA
56174,62,3.48,5.0,I Am Legend (2007),Action|Horror|Sci-Fi|Thriller|IMAX,alone in the world apocalypse based on a book last man on earth plot holes Post apocalyptic post-apocalyptic religion vampire
1374,62,3.77,5.0,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,Captain Kirk
1127,62,3.48,5.0,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,
3671,62,3.94,5.0,Blazing Saddles (1974),Comedy|Western,dark humor easygoing silly
3081,62,3.48,5.0,Sleepy Hollow (1999),Fantasy|Horror|Mystery|Romance,Ichabod Crane
1304,62,3.94,5.0,Butch Cassidy and the Sundance Kid (1969),Action|Western,crime
3717,61,3.22,5.0,Gone in 60 Seconds (2000),Action|Crime,
51255,61,4.0,5.0,Hot Fuzz (2007),Action|Comedy|Crime|Mystery,british comedy
2321,61,3.48,5.0,Pleasantville (1998),Comedy|Drama|Fantasy,
3527,61,3.58,5.0,Predator (1987),Action|Sci-Fi|Thriller,aliens sci-fi scifi cult aliens Arnold Schwarzenegger dialogue guns Jesse Ventura macho sci-fi scifi cult
8644,61,3.49,5.0,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller,
2640,61,3.61,5.0,Superman (1978),Action|Adventure|Sci-Fi,superhero
552,61,3.26,5.0,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,knights
509,61,3.54,5.0,"Piano, The (1993)",Drama|Romance,
3253,61,3.48,5.0,Wayne's World (1992),Comedy,
3471,60,3.74,5.0,Close Encounters of the Third Kind (1977),Adventure|Drama|Sci-Fi,
596,60,3.45,5.0,Pinocchio (1940),Animation|Children|Fantasy|Musical,Disney
5299,60,3.27,5.0,My Big Fat Greek Wedding (2002),Comedy|Romance,
2006,60,3.1,5.0,"Mask of Zorro, The (1998)",Action|Comedy|Romance,California Mexico
1377,60,3.02,5.0,Batman Returns (1992),Action|Crime,superhero
903,60,4.03,5.0,Vertigo (1958),Drama|Mystery|Romance|Thriller,falling Alfred Hitchcock Atmospheric imdb top 250 James Stewart
3033,59,3.48,5.0,Spaceballs (1987),Comedy|Sci-Fi,
2302,59,3.26,5.0,My Cousin Vinny (1992),Comedy,court
6942,59,3.79,5.0,Love Actually (2003),Comedy|Drama|Romance,
1500,59,3.61,5.0,Grosse Pointe Blank (1997),Comedy|Crime|Romance,hit men reunion
3535,59,3.79,5.0,American Psycho (2000),Crime|Horror|Mystery|Thriller,
6378,59,3.62,5.0,"Italian Job, The (2003)",Action|Crime,heist
68358,59,3.86,5.0,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX,future lack of development lack of story quick cuts sci-fi Simon Pegg space space travel time travel
1199,59,4.18,5.0,Brazil (1985),Fantasy|Sci-Fi,
1252,59,4.21,5.0,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,incest
1552,59,3.03,5.0,Con Air (1997),Action|Adventure|Thriller,
33679,59,3.28,5.0,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance,
112852,59,4.05,5.0,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi,funny Great Visuals humorous unlikely hero
1207,58,4.12,5.0,To Kill a Mockingbird (1962),Drama,Harper Lee racism
1394,58,3.99,5.0,Raising Arizona (1987),Comedy,Coen Brothers
34162,58,3.51,5.0,Wedding Crashers (2005),Comedy|Romance,stiller
73017,58,3.85,5.0,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller,
2167,58,3.36,5.0,Blade (1998),Action|Horror|Thriller,vampires
5669,58,3.78,5.0,Bowling for Columbine (2002),Documentary,violence in america
1230,58,3.87,5.0,Annie Hall (1977),Comedy|Romance,New York
6502,58,3.97,5.0,28 Days Later (2002),Action|Horror|Sci-Fi,zombies zombies
69844,58,3.89,5.0,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX,
708,58,3.39,5.0,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,Veterinarian
1608,58,3.34,5.0,Air Force One (1997),Action|Thriller,president
54001,58,3.86,5.0,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX,
370,58,3.06,5.0,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,
81845,58,4.04,5.0,"King's Speech, The (2010)",Drama,
953,58,4.03,5.0,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,Christmas
1276,57,4.27,5.0,Cool Hand Luke (1967),Drama,prison
2268,57,3.79,5.0,"Few Good Men, A (1992)",Crime|Drama|Thriller,court military
350,57,3.39,5.0,"Client, The (1994)",Drama|Mystery|Thriller,John Grisham
1203,57,4.15,5.0,12 Angry Men (1957),Drama,court claustrophobic confrontational earnest good dialogue great screenplay gritty Motivational thought-provoking
2470,57,3.18,5.0,Crocodile Dundee (1986),Adventure|Comedy,Australia
908,57,4.18,5.0,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,Mount Rushmore Alfred Hitchcock imdb top 250
80463,57,3.89,5.0,"Social Network, The (2010)",Drama,good dialogue loneliness witty
2005,57,3.57,5.0,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,
8641,57,3.77,5.0,Anchorman: The Legend of Ron Burgundy (2004),Comedy,hilarious Steve Carell Will Ferrell stupid awesome comedy Will Ferrell
2599,56,3.66,5.0,Election (1999),Comedy,
1777,56,3.42,5.0,"Wedding Singer, The (1998)",Comedy|Romance,1980s
2529,56,3.8,5.0,Planet of the Apes (1968),Action|Drama|Sci-Fi,twist ending
2395,56,3.54,5.0,Rushmore (1998),Comedy|Drama,
53125,56,3.44,5.0,Pirates of the Caribbean: At World's End (2007),Action|Adventure|Comedy|Fantasy,
1148,56,4.04,5.0,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,Aardman
2671,56,3.46,5.0,Notting Hill (1999),Comedy|Romance,
4370,56,3.34,5.0,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,android(s)/cyborg(s) artificial intelligence Bittersweet Steven Spielberg robots
1641,56,3.76,5.0,"Full Monty, The (1997)",Comedy|Drama,
1302,56,3.52,5.0,Field of Dreams (1989),Children|Drama|Fantasy,baseball
70,55,3.51,5.0,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,
4720,55,3.63,5.0,"Others, The (2001)",Drama|Horror|Mystery|Thriller,
78499,55,4.11,5.0,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,
54503,55,3.86,5.0,Superbad (2007),Comedy,friendship high school Michael Cera nerds self discovery shenanigans virginity
4308,55,3.59,5.0,Moulin Rouge (2001),Drama|Musical|Romance,
5956,55,3.52,5.0,Gangs of New York (2002),Crime|Drama,
2080,55,3.4,5.0,Lady and the Tramp (1955),Animation|Children|Comedy|Romance,Disney
2804,55,3.97,5.0,"Christmas Story, A (1983)",Children|Comedy,Christmas
7,54,3.19,5.0,Sabrina (1995),Comedy|Romance,remake
168,54,3.08,5.0,First Knight (1995),Action|Drama|Romance,
4018,54,3.14,4.5,What Women Want (2000),Comedy|Romance,
91500,54,3.44,5.0,The Hunger Games (2012),Action|Adventure|Drama|Sci-Fi|Thriller,ending
122904,54,3.83,5.0,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi,
2572,54,3.53,5.0,10 Things I Hate About You (1999),Comedy|Romance,Shakespeare sort of
2406,54,3.45,5.0,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,
106782,54,3.92,5.0,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,drugs Leonardo DiCaprio Martin Scorsese Stock Market Wall Street
4816,54,3.51,5.0,Zoolander (2001),Comedy,ben stiller comedy David Bowie goofy mindless one liners Will Ferrell
59784,54,3.44,5.0,Kung Fu Panda (2008),Action|Animation|Children|Comedy|IMAX,
3489,53,3.36,5.0,Hook (1991),Adventure|Comedy|Fantasy,Peter Pan
49530,53,3.76,5.0,Blood Diamond (2006),Action|Adventure|Crime|Drama|Thriller|War,Africa corruption Jennifer Connelly justice Leonardo DiCaprio
1997,53,3.8,5.0,"Exorcist, The (1973)",Horror|Mystery,demons
71535,53,3.88,5.0,Zombieland (2009),Action|Comedy|Horror,Bill Murray dark comedy Emma Stone funny Jesse Eisenberg Woody Harrelson
1282,53,3.78,5.0,Fantasia (1940),Animation|Children|Fantasy|Musical,Disney
2078,53,3.83,5.0,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical,Disney
2712,53,3.46,5.0,Eyes Wide Shut (1999),Drama|Mystery|Thriller,sexuality
76093,53,3.94,5.0,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX,
3911,53,3.69,5.0,Best in Show (2000),Comedy,satire Dogs
2947,53,3.84,5.0,Goldfinger (1964),Action|Adventure|Thriller,
3,52,3.26,5.0,Grumpier Old Men (1995),Comedy|Romance,moldy old
225,52,3.54,5.0,Disclosure (1994),Drama|Thriller,
109374,52,3.78,5.0,"Grand Budapest Hotel, The (2014)",Comedy|Drama,
52973,52,3.65,5.0,Knocked Up (2007),Comedy|Drama|Romance,
30707,52,3.85,5.0,Million Dollar Baby (2004),Drama,boxing
45499,52,3.36,5.0,X-Men: The Last Stand (2006),Action|Sci-Fi|Thriller,Halle Berry Hugh Jackman
6870,52,3.71,5.0,Mystic River (2003),Crime|Drama|Mystery,child abuse kidnapping
1639,52,3.58,5.0,Chasing Amy (1997),Comedy|Drama|Romance,
1466,52,3.74,5.0,Donnie Brasco (1997),Crime|Drama,Mafia
3552,52,3.83,5.0,Caddyshack (1980),Comedy,golf
3160,52,3.71,5.0,Magnolia (1999),Drama,L.A.
1215,51,4.04,5.0,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,
4239,51,3.81,5.0,Blow (2001),Crime|Drama,
145,51,3.25,5.0,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,
2100,51,3.12,5.0,Splash (1984),Comedy|Fantasy|Romance,mermaid
4776,51,3.79,5.0,Training Day (2001),Crime|Drama|Thriller,
1645,51,3.41,5.0,The Devil's Advocate (1997),Drama|Mystery|Thriller,lawyers
4848,51,3.84,5.0,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller,
2424,50,3.12,5.0,You've Got Mail (1998),Comedy|Romance,e-mail remake
910,50,4.01,5.0,Some Like It Hot (1959),Comedy|Crime,men in drag
34405,50,3.94,5.0,Serenity (2005),Action|Adventure|Sci-Fi,predictable Firefly
5010,50,3.81,5.0,Black Hawk Down (2001),Action|Drama|War,
88125,50,3.91,5.0,Harry Potter and the Deathly Hallows: Part 2 (2011),Action|Adventure|Drama|Fantasy|Mystery|IMAX,
333,50,3.78,5.0,Tommy Boy (1995),Comedy,
34048,50,3.15,5.0,War of the Worlds (2005),Action|Adventure|Sci-Fi|Thriller,
116797,50,4.02,5.0,The Imitation Game (2014),Drama|Thriller|War,inspirational intelligent
33166,50,3.89,5.0,Crash (2004),Crime|Drama,racism
8361,50,3.05,4.5,"Day After Tomorrow, The (2004)",Action|Adventure|Drama|Sci-Fi|Thriller,
8464,50,3.51,5.0,Super Size Me (2004),Comedy|Documentary|Drama,food McDonalds
96079,50,3.81,5.0,Skyfall (2012),Action|Adventure|Thriller|IMAX,beautiful cinematography beautifully filmed cinematography
2105,50,3.34,5.0,Tron (1982),Action|Adventure|Sci-Fi,
2144,49,3.6,5.0,Sixteen Candles (1984),Comedy|Romance,
45447,49,3.12,4.0,"Da Vinci Code, The (2006)",Drama|Mystery|Thriller,adventure Audrey Tautou conspiracy theory Mystery Paris Tom Hanks treasure hunt
661,49,3.45,5.0,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,
2641,49,3.02,5.0,Superman II (1980),Action|Sci-Fi,superhero
5464,49,3.52,5.0,Road to Perdition (2002),Crime|Drama,cinematography Tom Hanks
5991,49,3.72,5.0,Chicago (2002),Comedy|Crime|Drama|Musical,court jazz murder
3176,49,3.34,5.0,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller,based on a book creepy disturbing Jude Law murder obsession psychology secrets serial killer suspense Europe murder
5,49,3.07,5.0,Father of the Bride Part II (1995),Comedy,pregnancy remake
216,49,3.33,5.0,Billy Madison (1995),Comedy,school Adam Sandler stop looking at me swan
8784,48,3.71,5.0,Garden State (2004),Comedy|Drama|Romance,psychology
2019,48,4.19,5.0,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama,samurai
745,48,3.9,5.0,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy,Aardman
2763,48,3.65,5.0,"Thomas Crown Affair, The (1999)",Action|Mystery,
1275,48,3.73,5.0,Highlander (1986),Action|Adventure|Fantasy,
2694,48,3.2,5.0,Big Daddy (1999),Comedy,Adam Sandler
30749,48,3.79,5.0,Hotel Rwanda (2004),Drama|War,genocide
1729,48,3.7,5.0,Jackie Brown (1997),Crime|Drama|Thriller,
1748,48,3.82,5.0,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller,amnesia
134130,48,4.0,5.0,The Martian (2015),Adventure|Drama|Sci-Fi,smart
7458,48,3.43,5.0,Troy (2004),Action|Adventure|Drama|War,
3000,48,3.96,5.0,Princess Mononoke (Mononoke-hime) (1997),Action|Adventure|Animation|Drama|Fantasy,anime adventure atmospheric fantasy world Studio Ghibli surreal
1994,47,3.43,5.0,Poltergeist (1982),Horror|Thriller,ghosts
77561,47,3.51,5.0,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX,
2539,47,3.1,5.0,Analyze This (1999),Comedy,
1092,47,3.19,5.0,Basic Instinct (1992),Crime|Mystery|Thriller,
899,47,4.07,5.0,Singin' in the Rain (1952),Comedy|Musical|Romance,movie business
783,47,3.33,5.0,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,
1921,47,3.85,5.0,Pi (1998),Drama|Sci-Fi|Thriller,hallucinatory mental illness mindfuck paranoid mathematics artsy atmospheric cerebral enigmatic existentialism hallucinatory insanity paranoia paranoid surreal tense visually appealing
5679,47,3.2,4.5,"Ring, The (2002)",Horror|Mystery|Thriller,
81834,47,3.99,5.0,Harry Potter and the Deathly Hallows: Part 1 (2010),Action|Adventure|Fantasy|IMAX,
7293,47,3.55,5.0,50 First Dates (2004),Comedy|Romance,
4014,47,3.52,5.0,Chocolat (2000),Drama|Romance,
1367,47,3.07,5.0,101 Dalmatians (1996),Adventure|Children|Comedy,dogs remake
1358,47,3.84,5.0,Sling Blade (1996),Drama,ex-con
2001,47,3.18,5.0,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,
122882,47,3.82,5.0,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,beautiful cinematography visually appealing
8529,47,3.32,5.0,"Terminal, The (2004)",Comedy|Drama|Romance,
1320,47,3.15,5.0,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller,
54272,46,3.62,5.0,"Simpsons Movie, The (2007)",Animation|Comedy,
7254,46,3.63,5.0,The Butterfly Effect (2004),Drama|Sci-Fi|Thriller,alternate reality sci-fi science fiction time travel
5995,46,4.11,5.0,"Pianist, The (2002)",Drama|War,holocaust true story Holocaust
112,46,3.54,5.0,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,
3752,46,3.09,5.0,"Me, Myself & Irene (2000)",Adventure|Comedy,
2076,46,3.95,5.0,Blue Velvet (1986),Drama|Mystery|Thriller,sexuality suburbia
47099,46,3.79,5.0,"Pursuit of Happyness, The (2006)",Drama,
1396,46,3.48,5.0,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi,spying
802,46,3.34,5.0,Phenomenon (1996),Drama|Romance,
5060,46,3.93,5.0,M*A*S*H (a.k.a. MASH) (1970),Comedy|Drama|War,
1884,46,3.97,5.0,Fear and Loathing in Las Vegas (1998),Adventure|Comedy|Drama,
64614,46,3.95,5.0,Gran Torino (2008),Crime|Drama,
5902,46,3.95,5.0,Adaptation (2002),Comedy|Drama|Romance,
4085,46,3.4,5.0,Beverly Hills Cop (1984),Action|Comedy|Crime|Drama,
4571,45,3.7,5.0,Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi,time travel
4718,45,3.07,5.0,American Pie 2 (2001),Comedy,
1722,45,3.07,5.0,Tomorrow Never Dies (1997),Action|Adventure|Thriller,
2294,45,3.24,5.0,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy,
1250,45,4.12,5.0,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War,POW
2288,45,3.93,5.0,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,
1371,45,3.04,5.0,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi,
2023,45,3.36,5.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,Al Pacino Andy Garcia Classic Francis Ford Coppola mafia
1183,45,3.71,5.0,"English Patient, The (1996)",Drama|Romance|War,adultery
31685,45,3.17,4.5,Hitch (2005),Comedy|Romance,
236,45,3.48,5.0,French Kiss (1995),Action|Comedy|Romance,
4270,45,3.09,5.0,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller,
1204,45,4.3,5.0,Lawrence of Arabia (1962),Adventure|Drama|War,Middle East
616,45,3.41,5.0,"Aristocats, The (1970)",Animation|Children,Disney
6537,45,3.04,4.5,Terminator 3: Rise of the Machines (2003),Action|Adventure|Sci-Fi,
3863,45,3.04,5.0,"Cell, The (2000)",Drama|Horror|Thriller,
2890,45,3.71,5.0,Three Kings (1999),Action|Adventure|Comedy|Drama|War,
2490,45,3.42,5.0,Payback (1999),Action|Thriller,
1266,45,4.11,5.0,Unforgiven (1992),Drama|Western,revenge
4369,45,3.07,5.0,"Fast and the Furious, The (2001)",Action|Crime|Thriller,
3255,45,3.47,5.0,"League of Their Own, A (1992)",Comedy|Drama,
1907,45,3.57,5.0,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance,
920,45,3.64,5.0,Gone with the Wind (1939),Drama|Romance|War,Civil War
79702,44,3.7,5.0,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance,geeky Michael Cera stylized video games
3499,44,3.84,5.0,Misery (1990),Drama|Horror|Thriller,claustrophobic horror scary stephen king suspenseful tense thriller
5377,44,3.72,5.0,About a Boy (2002),Comedy|Drama|Romance,Nick Hornby
913,44,4.17,5.0,"Maltese Falcon, The (1941)",Film-Noir|Mystery,statue
111759,44,3.98,5.0,Edge of Tomorrow (2014),Action|Sci-Fi|IMAX,
3755,44,3.17,5.0,"Perfect Storm, The (2000)",Drama|Thriller,
46976,44,3.69,5.0,Stranger than Fiction (2006),Comedy|Drama|Fantasy|Romance,emma thompson Maggie Gyllenhaal modern fantasy romance surreal Will Ferrell
1333,44,3.6,5.0,"Birds, The (1963)",Horror|Thriller,birds
5903,44,3.88,5.0,Equilibrium (2002),Action|Sci-Fi|Thriller,
37729,44,3.53,5.0,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance,gothic helena bonham carter Johnny Depp Tim Burton visually appealing animation 06 Oscar Nominated Best Movie - Animation
151,44,3.55,5.0,Rob Roy (1995),Action|Drama|Romance|War,
8798,44,3.76,5.0,Collateral (2004),Action|Crime|Drama|Thriller,
2085,44,3.43,5.0,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children,Disney
4975,44,3.42,5.0,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller,
33004,44,3.42,5.0,"Hitchhiker's Guide to the Galaxy, The (2005)",Adventure|Comedy|Sci-Fi,
3448,43,3.8,5.0,"Good Morning, Vietnam (1987)",Comedy|Drama|War,
1876,43,3.07,4.5,Deep Impact (1998),Drama|Sci-Fi|Thriller,
3624,43,3.15,5.0,Shanghai Noon (2000),Action|Adventure|Comedy|Western,
87232,43,3.79,5.0,X-Men: First Class (2011),Action|Adventure|Sci-Fi|Thriller|War,
3275,43,4.22,5.0,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller,
60684,43,3.99,5.0,Watchmen (2009),Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,
2455,43,3.38,5.0,"Fly, The (1986)",Drama|Horror|Sci-Fi|Thriller,
134853,43,3.81,5.0,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy,
1263,43,3.83,5.0,"Deer Hunter, The (1978)",Drama|War,Vietnam
1262,43,4.13,5.0,"Great Escape, The (1963)",Action|Adventure|Drama|War,POW
852,43,3.17,5.0,Tin Cup (1996),Comedy|Drama|Romance,golf
2161,43,3.58,5.0,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy,
3363,43,3.85,5.0,American Graffiti (1973),Comedy|Drama,
2278,43,3.52,5.0,Ronin (1998),Action|Crime|Thriller,
2407,43,3.27,4.5,Cocoon (1985),Comedy|Sci-Fi,
1376,43,3.48,5.0,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi,whales
8984,43,3.29,5.0,Ocean's Twelve (2004),Action|Comedy|Crime|Thriller,
497,43,3.81,5.0,Much Ado About Nothing (1993),Comedy|Romance,Shakespeare
76251,43,3.65,4.5,Kick-Ass (2010),Action|Comedy,
47610,43,3.78,5.0,"Illusionist, The (2006)",Drama|Fantasy|Mystery|Romance,costume drama Edward Norton magic Paul Giamatti
252,43,3.45,5.0,I.Q. (1994),Comedy|Romance,Einstein
1088,42,3.37,5.0,Dirty Dancing (1987),Drama|Musical|Romance,dance music
